epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,5859.86,0.49099,0.43443,0.93265,0.43065,0.74057,0.50315,0.46959,0.44945,0.63712,0.95363,0.00295181,0.000983938,0.00295181,0.000983938,0.00295181,0.000983938,0.00295181,0.000983938
45,5979.7,0.45528,0.41607,0.93468,0.41916,0.70163,0.53463,0.50429,0.44423,0.59653,0.94921,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
46,6109.46,0.48089,0.41244,0.94205,0.42696,0.73585,0.52274,0.48924,0.44119,0.63348,0.93914,0.00291469,0.000971562,0.00291469,0.000971562,0.00291469,0.000971562,0.00291469,0.000971562
47,6231.38,0.47126,0.39123,0.93376,0.42789,0.73585,0.52848,0.4961,0.43347,0.65256,0.93383,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
48,6363.32,0.44092,0.40098,0.90595,0.42292,0.69612,0.5133,0.48097,0.44868,0.62024,0.95101,0.00287756,0.000959187,0.00287756,0.000959187,0.00287756,0.000959187,0.00287756,0.000959187
49,6484.26,0.46916,0.36929,0.9186,0.43022,0.7222,0.51043,0.48099,0.44663,0.60831,0.95252,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
50,6615.18,0.47774,0.4038,0.93002,0.43615,0.73728,0.46621,0.44088,0.44839,0.66194,0.94987,0.00284044,0.000946812,0.00284044,0.000946812,0.00284044,0.000946812,0.00284044,0.000946812
51,6737.15,0.46449,0.38315,0.91076,0.44012,0.74041,0.46528,0.4327,0.45123,0.71768,0.95415,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
52,6871.49,0.49884,0.3942,0.91867,0.44358,0.73293,0.49105,0.46419,0.44825,0.65044,0.94874,0.00280331,0.000934438,0.00280331,0.000934438,0.00280331,0.000934438,0.00280331,0.000934438
53,6994.24,0.47731,0.39944,0.92674,0.43802,0.73751,0.4802,0.44826,0.44885,0.77548,0.94314,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
54,7128.08,0.44604,0.39148,0.90922,0.43668,0.74043,0.48757,0.45602,0.43845,0.69919,0.93444,0.00276619,0.000922063,0.00276619,0.000922063,0.00276619,0.000922063,0.00276619,0.000922063
55,7251.11,0.45651,0.39424,0.91387,0.43211,0.73699,0.49884,0.46799,0.43632,0.67243,0.93512,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875
56,7384.3,0.4869,0.38524,0.94385,0.43217,0.74057,0.5063,0.46936,0.44948,0.7336,0.94119,0.00272906,0.000909688,0.00272906,0.000909688,0.00272906,0.000909688,0.00272906,0.000909688
57,7506.58,0.42839,0.36152,0.88892,0.42561,0.73476,0.50371,0.4681,0.45576,0.71281,0.94878,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
58,7639.28,0.47357,0.39269,0.91029,0.4284,0.74057,0.50715,0.47307,0.45032,0.71508,0.94406,0.00269194,0.000897313,0.00269194,0.000897313,0.00269194,0.000897313,0.00269194,0.000897313
59,7762.65,0.43904,0.37593,0.93566,0.42937,0.73674,0.50669,0.47693,0.45129,0.76356,0.93655,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
